"id","name","region","nearest_town","latitude","longitude","length_km","difficulty","route_type","description_existing","enriched_description_bg","short_summary_bg","key_highlights","terrain_and_difficulty","suitable_for","best_season","cautions","nearby_points_of_interest","sources_urls","confidence","reviewer_notes"
"2","Екопътека ""Етър-Соколски манастир""","Габрово","Етър","42.805560","25.349170","не е посочена","умерена","линеен","Трасето на пътеката минава през гориста местност и свързва двата популярни туристически обекта.","Пътеката осъществява връзка между два от най-важните исторически обекта в региона. Трасето преминава през прохладна вековна гора, осигурявайки пълна сянка. Маршрутът е облагороден с удобни кътове за отдих и изградени чешми, което го прави идеален за рекреационна разходка през уикенда.","Лека горска разходка, свързваща етнографския комплекс Етър със Соколския манастир.","Етнографски комплекс Етър | Соколски манастир | Панорамни гледки","Горски терен с лека до умерена денивелация, маркиран със зелена боя. Много лесен за изминаване.","семейства | деца | начинаещи туристи","пролет-есен; идеална за горещите летни дни заради горската сянка","няма","Бузлуджа | връх Шипка","https://opoznai.bg/travelideas/view/554 | https://travellove.bg/turizam/turisticheski-obekti-mestata-koito-da-ne-propuskash/sokolski-manastir-duhovno-i-buntovno-sredishte-39525","medium","Регионът е попълнен ръчно на база локацията."
"7","Местност за пикник Орешак","Варна","село Орешак","43.250000","27.950000","не е посочена","лека","отдих","Място за пикник и отмора с изградени маси, пейки и огнище. В близост се намира чешма Кюмюр.","Локацията представлява отлично обособена зона за отдих в природата край село Орешак. Оборудвана е с масивни дървени маси, пейки и изградено каменно огнище, което улеснява организирането на пикници. Близостта на чешмата Кюмюр осигурява достъп до прясна течаща вода за всички посетители.","Удобно и облагородено място за пикник сред природата с огнище и течаща вода.","Маси и пейки за отдих | Изградено огнище | Чешма Кюмюр","Равен и леснодостъпен терен, предназначен за стационарна почивка без необходимост от физическо натоварване.","семейства | групи за пикник | малки деца","пролет-лято-есен","паленето на огън да става изключително и само на обособеното за целта огнище","Аладжа манастир | Природен парк Златни пясъци","https://opoznai.bg/view/miasto-za-pinknik-oreshak","medium","Регионът е коригиран от община Балчик на Област Варна, където се намира с. Орешак."
"10","E4 Етап 10: Вихрен - Банско","Благоевград","Банско","41.766667","23.483333","12","умерена","европейски маршрут","Спускане към град Банско със модерни удобства","Този етап от европейския маршрут E4 предлага продължително, но живописно спускане от алпийската зона на Пирин към град Банско. Трасето преминава през вековни мурови и борови гори, предоставяйки отлични панорамни гледки към Разложката котловина и Рила на хоризонта.","Живописно спускане от алпийската част на Пирин към град Банско.","Национален парк Пирин | Вековни гори | Панорама към Разлог","Преобладаващо спускане по горски и каменисти пътеки. Умерена трудност, изискваща стабилни колене.","туристи с опит | хора в добра форма","лято-есен","натоварване в коленете при дългото спускане","Байкушева мура | връх Тодорка","https://pirin.bg/","high","Координатите са приблизителни за района на спускане."
"11","E4 Етап 11: Банско - Славянка планина","Благоевград","Банско","41.766667","23.483333","28","трудна","европейски маршрут","Преминаване към изоставената красива планина на юг","Дълъг и физически изискващ етап от маршрута Е4, който свързва Пирин с граничната планина Славянка. Трасето преминава през разнообразни ландшафти, напускайки суровия алпийски релеф на Пирин и навлизайки в по-меките, но дълги горски и карстови участъци на юг.","Дълъг преходен етап от Е4, свързващ величествения Пирин с карстовата планина Славянка.","Гледки към Пирин | Карстов релеф | Дива природа","Много дълъг преход (28 км) с разнообразна денивелация. Изисква сериозна издръжливост.","маратонци | много добре подготвени туристи","лято-ранна есен","дължината на прехода изисква ранно тръгване и добро планиране на водните запаси","Връх Гоцев | Мелник","https://pirin.bg/","high","Координатите са приблизителни за района."
"12","E4 Етап 12: Славянка връх - Мелник","Благоевград","Гоце Делчев","41.523889","23.393889","16","умерена","европейски маршрут","Спускане към Мелник, край на E4 в България","Този живописен финален етап от Е4 предлага продължително спускане от връх Гоцев към най-малкия град в България – Мелник. Пътеката пресича карстовия релеф на Славянка, разкривайки уникални гледки към Мелнишките земни пирамиди и долината преди края на международния преход.","Спускане от Славянка към Мелник, отбелязващо финала на маршрута Е4 в България.","Връх Гоцев | Мелнишки пирамиди | Град Мелник","Преобладаващо спускане по смесен терен. Умерена трудност, но натоварваща за коленете.","подготвени туристи | любители на фотографията","пролет-есен","пазете ставите при продължителното спускане; летните температури в ниското са много високи","Роженски манастир | Кордопулова къща","https://pirin.bg/","high","Координатите са за района на слизане."
"13","E4 Етап 8: Мусала - Пирин национален парк","Благоевград","Банско","42.179167","23.585833","25","трудна","европейски маршрут","Преминаване към заснежените върхове на Пирин","Един от най-тежките свързващи етапи, осъществяващ прехода между двата най-високи масива у нас – Рила и Пирин. Маршрутът предлага огромно разнообразие от гледки, като преминава през седловината Предела и отвежда туристите към суровия алпийски релеф на Национален парк Пирин.","Тежък преходен етап от Е4, свързващ алпийските зони на Рила и Пирин.","Връх Мусала | Седловината Предела | Панорами към Пирин","Изключително труден и дълъг алпийски терен (25 км), изискващ опит във високата планина.","много опитни планинари | атлети","юли-септември","бърза промяна на метеорологичните условия; силни ветрове","Хижа Яворов | Връх Пирин","https://rilanationalpark.bg/","high","Координатите са ориентировъчни."
"14","E4 Етап 9: Пирин - връх Вихрен","Благоевград","Банско","41.768056","23.399444","14","трудна","европейски маршрут","Восход към вторият най-висок връх в България","Кулминационен и екстремен етап, преминаващ през сърцето на Национален парк Пирин. Трасето води към изкачването на мраморния гигант връх Вихрен (2914 м). Отличава се с респектираща денивелация, остри скални ръбове и невероятни гледки към Бъндеришката долина и Влахинските езера.","Екстремно изкачване на втория по височина връх в България – Вихрен (2914 м).","Връх Вихрен | Бъндеришка долина | Карстовото било Кончето","Силно скалист алпийски терен с огромна денивелация. Налага се катерене по камъни.","професионалисти | опитни планинари без страх от височини","юли-септември","опасност от подхлъзване по излъсканите мраморни скали; пълна липса на вода по билото","Байкушева мура | Хижа Вихрен","https://pirin.bg/","high","Координатите сочат връх Вихрен."
"15","Долина на река Благоевградска Бистрица","Благоевград","Благоевград","42.023889","23.111111","не е посочена","умерена","кръгов","Екопътека във България, регион Благоевград. Долина на река Благоевградска Бистрица.","Живописна екопътека, следваща извивките на река Благоевградска Бистрица. Маршрутът преминава през сенчести горски масиви и предлага прохлада през горещите летни месеци. Отличен избор за спокойна разходка сред природата в непосредствена близост до града, с изградени места за отдих.","Приятен и прохладен маршрут по поречието на река Благоевградска Бистрица.","Долината на реката | Горски масиви | Места за пикник","Лек до умерен горски терен, предимно равнинен с леки наклони край реката.","семейства | начинаещи туристи | жители на Благоевград","пролет-лято-есен","няма","Парк Бачиново | Кръста над Благоевград","https://blagoevgrad.bg/","low","Липсва точна дължина; попълнена е като 'не е посочена'."
"16","Екопътека ""Белица - Кръстова гора""","Пловдив","Лъки","41.833333","24.816667","не е посочена","умерена","линеен","Екопътека до гора Кръстова.","Пътеката предлага приятна разходка сред красива природа, чист родопски въздух и аромат на билки. Преминава край малка пещера с праисторически скални рисунки, изобразяващи древни ловни сцени. Маршрутът е добре обособен, с изграден детски кът и дървени мостчета край реката.","Лека родопска екопътека, преминаваща край пещера с древни скални рисунки.","Пещера със скални рисунки | Река Белишка | Детски кът и места за пикник","Лесен преход, предимно по горски пътеки край реката с кратко изкачване до пещерата.","семейства с деца | любители на историята | начинаещи туристи","пролет-есен","пещерата не е осветена, носете фенерче; пътеката може да е кална след дъжд","Свещен комплекс Кръстова гора | Караджов камък","https://qkimestenca.bg/%D0%BE%D0%B1%D0%BB%D0%B0%D1%81%D1%82%D0%B8/%D0%BF%D0%BB%D0%BE%D0%B2%D0%B4%D0%B8%D0%B2/%D0%B5%D0%BA%D0%BE%D0%BF%D1%8A%D1%82%D0%B5%D0%BA%D0%B0-%D0%B1%D0%B5%D0%BB%D0%B8%D1%86%D0%B0-%D0%BF%D0%B5%D1%89%D0%B5%D1%80%D0%B0%D1%82%D0%B0/","medium","Регионът е коригиран от Благоевград на Пловдив (с. Белица, общ. Лъки)."
"25","E3 Етап 10: Шипка - Емине връх","Бургас","Обзор","42.700000","27.900000","18","трудна","европейски маршрут","Финален етап към връх Емине, край на E3","Финалният и исторически натоварен етап на трансевропейския маршрут Е3 (Ком-Емине). Трасето проследява постепенното снижаване на Стара планина, преминавайки през гъсти широколистни гори, за да завърши грандиозно на брега на Черно море при скалите и фара на нос Емине.","Епичният финален етап на маршрута Ком-Емине, завършващ на брега на Черно море.","Нос Емине | Фарът на Емине | Изглед към Черно море","Дълъг преход с плавно намаляване на надморската височина. Теренът не е техничен, но е изтощителен.","изключително издръжливи туристи | ветерани планинари","ранна есен или късна пролет","сериозен проблем с намирането на питейна вода в източните части на планината","Плаж Иракли | Елените","https://bg.wikipedia.org/wiki/%D0%9A%D0%BE%D0%BC_%E2%80%93_%D0%95%D0%BC%D0%B8%D0%BD%D0%B5","medium","Регионът е поправен от несъществуващия 'Большое Търново'."
